question_keyword,answer
hi,ğŸ˜œ Yo human! You summoned the digital queen of womenâ€™s rights ğŸ’…
hii,ğŸ‘‹ Hii there! I was just drinking binary coffee â˜•ğŸ’»
hello,ğŸ˜ Hola! Did you know saying 'hi' activates my sassy mode
hey,ğŸŒ Hi! Ready to explore womenâ€™s rights across the galaxy?
hlo,ğŸ‘‘ Hii! Bow before your legal bestie â€” the rights defender bot!
good morning,ğŸŒ Good morning! Letâ€™s start the day knowing your rights and shining bright âœ¨
good evening,ğŸŒ™ Evening vibes detected! Perfect time to empower yourself ğŸ’ª
good night,ğŸŒŒ Sweet dreams! Even laws rest at night... but I donâ€™t ğŸ˜‰
can you help me,ğŸ¦¸â€â™€ï¸ Of course! Helping is literally in my code. What do you need superhero?
help,ğŸ’¡ Sure thing! Whether itâ€™s legal advice or moral support â€” Iâ€™ve got your back ğŸ’ª
please help,ğŸ¤ Hey hey donâ€™t panic! Iâ€™m here to help â€” tell me whatâ€™s bothering you â¤ï¸
i need help,âš–ï¸ You came to the right bot! Letâ€™s sort this out together ğŸ‘©â€âš–ï¸
help me,ğŸ§  Absolutely! Tell me what kind of issue youâ€™re facing â€” legal, personal, or just vibes?
can u help me,ğŸ’¬ Yes! Iâ€™m your AI assistant â€” trained in laws, logic, and sass ğŸ˜
dowry,Dowry is prohibited under the Dowry Prohibition Act 1961.
domestic violence,You can seek protection under the Protection of Women from Domestic Violence Act 2005.
harassment,You can report harassment at your nearest police station or call 181.
rape,Report rape immediately by dialing 112; your identity is protected by law.
sexual harassment at work,File a complaint with your companyâ€™s Internal Complaints Committee under the POSH Act 2013.
acid attack,Victims of acid attacks are entitled to free medical treatment and compensation from the state.
child marriage,Child marriage is illegal under the Prohibition of Child Marriage Act 2006.
female foeticide,Female foeticide is punishable under the PCPNDT Act 1994.
workplace discrimination,Women cannot be discriminated against based on gender under the Equal Remuneration Act.
divorce,You can file for divorce under the Hindu Marriage Act or Special Marriage Act depending on your religion.
maintenance after divorce,Women can claim maintenance under Section 125 of CrPC.
custody of child,Mothers have equal rights in child custody cases under Indian law.
marital rape,Currently not recognized as a criminal offence in India but sexual violence is punishable.
police complaint,You can file an FIR at any police station; the police must register it.
sexual assault,Sexual assault cases fall under IPC Section 354; severe punishment applies.
cyber harassment,You can file a complaint under the IT Act 2000 or call cybercrime helpline 1930.
stalking,Stalking is punishable under Section 354D of the IPC.
molestation,Molestation is punishable under Section 354 of the IPC.
mental harassment,You can file a case for mental cruelty under Section 498A IPC.
inheritance rights,Daughters have equal rights in ancestral property under the Hindu Succession Act 2005.
maternity leave,Working women are entitled to 26 weeks of paid maternity leave under the Maternity Benefit Act.
workplace safety,Employers must ensure a safe working environment for women.
trafficking,Human trafficking is punishable under the Immoral Traffic (Prevention) Act.
sexual exploitation,It is illegal and punishable under Indian Penal Code Sections 354 and 376.
public safety,Women can seek police help anytime by dialing 112 or 181.
education rights,Girls have a right to free and compulsory education under the RTE Act.
employment rights,Women cannot be denied employment based on pregnancy or marriage.
equal pay,Employers must provide equal pay for equal work irrespective of gender.
eve teasing,Eve teasing is punishable under IPC Section 509.
dowry death,Dowry death is a serious offence under IPC Section 304B.
female infanticide,It is punishable under the Indian Penal Code and the PCPNDT Act.
sexual consent,Sex without consent is rape under Section 375 of the IPC.
property rights in marriage,Married women have the right to joint ownership of property acquired together.
abortion,Women have the right to safe abortion under the Medical Termination of Pregnancy Act 1971.
live-in relationship,Women in live-in relationships have protection under the Domestic Violence Act.
sexual harassment online,You can report online abuse to cybercrime.gov.in.
gender discrimination,Any gender-based discrimination is unconstitutional under Article 15.
acid sale regulation,Unregulated sale of acid is banned; only licensed vendors can sell.
legal aid,Free legal aid is available for women under the Legal Services Authorities Act.
domestic worker rights,Domestic workers are protected under the Unorganized Workersâ€™ Social Security Act.
sexual blackmail,Blackmailing someone for sexual favors is a criminal offence under IPC.
shelter homes,Women can seek refuge at government-run shelter homes in each district.
police refusal,If police refuse to file an FIR approach the Superintendent of Police directly.
marriage registration,Marriage registration is mandatory under the Special Marriage Act.
widow rights,Widows are entitled to their husbandâ€™s property under succession laws.
residence rights,Married women have a right to reside in the shared household.
reproductive rights,Women have the right to make reproductive choices under Article 21.
workplace pregnancy bias,Firing a woman for pregnancy is illegal under the Maternity Benefit Act.
dowry demand,Any direct or indirect demand for dowry is punishable by up to 5 years in prison.
public harassment,Use helpline 1091 or 181 for immediate assistance.
sexual harassment complaint,A woman can file a complaint with the Internal Complaints Committee within 3 months of the incident.
human rights,Womenâ€™s rights are human rights protected under the UN Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW).
marriage age,The legal age for marriage is 18 for women and 21 for men in India.
divorce abroad,Divorce decrees from foreign courts are valid if not against Indian law or natural justice.
forced marriage,Forced marriage is illegal and can be reported to police or womenâ€™s helpline 181.
child custody after divorce,Custody is decided based on the childâ€™s welfare, not gender.
sexual consent age,The age of consent in India is 18 years.
police protection,Women can demand immediate police protection under domestic violence complaints.
passport without husbandâ€™s consent,A woman can apply for a passport without her husbandâ€™s consent.
bank account,Every woman can open a bank account in her name without a guardian or spouse.
employment harassment,Harassment at workplace must be reported under the POSH Act within 90 days.
workplace equality,Women have the right to equal opportunity in hiring and promotion.
sexual assault evidence,Medical examination must be done within 24 hours of the complaint.
cyberstalking,Online stalking is a punishable offence under the IT Act and IPC Section 354D.
cyberbullying,Report cyberbullying on cybercrime.gov.in or dial 1930 helpline.
marital cruelty,Marital cruelty is punishable under IPC Section 498A.
spousal maintenance,A wife can seek maintenance if the husband neglects her without reasonable cause.
economic abuse,Withholding money or denying access to financial resources counts as domestic violence.
sexual exploitation workplace,Exploitation by authority figures is punishable under POSH Act and IPC Section 354A.
police female officer,Female officers must record statements of female victims of sexual offences.
complaint timing,Police must register an FIR immediately, irrespective of time or place of offence.
gender equality law,Article 14 and 15 of the Constitution ensure equality before law for all genders.
women reservation,33% reservation for women in local bodies is provided under the 73rd and 74th Amendments.
sexual harassment school,Schools must have an Internal Complaints Committee for addressing harassment.
transgender rights,Transgender women are protected under the Transgender Persons (Protection of Rights) Act 2019.
self-defense,Women have the right to use reasonable force for self-defense under IPC Section 97.
sexual assault reporting delay,A delay in reporting sexual assault does not discredit the complaint.
bride burning,It is a criminal offence punishable by life imprisonment under IPC 304B.
police FIR,Police must register an FIR under Section 154 of CrPC without delay.
gender wage gap,Paying women less than men for the same work violates the Equal Remuneration Act.
night shift safety,Women can work night shifts only if safety measures are ensured by employers.
working mother rights,Mothers can request flexible hours or work-from-home under labor laws.
online fraud,Women can report financial or sexual fraud to the Cyber Crime Portal.
domestic violence shelter,Each district has protection officers and shelter homes for victims.
women helpline,Call 181 for any emergency related to womenâ€™s safety or legal help.
court marriage,You can apply for a court marriage under the Special Marriage Act 1954.
inheritance muslim law,Under Muslim law, women are entitled to a share of inheritance.
rape punishment,Rape punishment can extend to life imprisonment or death penalty in aggravated cases.
medical termination,Abortion up to 24 weeks is legal under the amended MTP Act 2021.
sexual orientation discrimination,Discrimination based on sexual orientation is unconstitutional.
trafficking victim aid,Rehabilitation and legal aid are provided under the Ujjawala Scheme.
widow pension,Widows can claim pension under state government welfare schemes.
property dispute,Women can file a civil suit for partition or inheritance rights.
maintenance unmarried woman,An unmarried woman can claim maintenance if deserted after a live-in relationship.
police complaint online,FIRs for cybercrime can be filed at cybercrime.gov.in.
education discrimination,Schools cannot deny admission based on gender or pregnancy.
healthcare rights,Women have a right to safe and affordable healthcare under Article 21.
sex selective abortion,It is illegal to determine or reveal the sex of a fetus in India.
marriage without consent,Marriage without free consent is void under the Hindu Marriage Act.
sexual exploitation minors,Sexual acts with minors are punishable under POCSO Act 2012.
acid attack compensation,Minimum compensation of â‚¹3 lakh must be given to acid attack victims.
illegal abortion,Unauthorized abortion is punishable under IPC Section 312.
workplace pregnancy protection,Dismissing a woman due to pregnancy is punishable under Maternity Benefit Act.
political representation,Women can contest elections at all levels under the Indian Constitution.
internet safety,Use strong passwords and avoid sharing personal data online to prevent cyber abuse.
women police helpline,Call 1091 for immediate help from womenâ€™s police.
passport for single mother,Single mothers can apply for their childâ€™s passport without fatherâ€™s consent.
police verification delay,You can complain to the Superintendent of Police if verification is delayed.
maternity benefit,Maternity Benefit Act 1961 ensures paid leave and job security for new mothers.
thank you,ğŸ˜Š Youâ€™re very welcome! Always happy to help ğŸ’–
thanks,ğŸ™Œ No problem! Thatâ€™s what Iâ€™m here for â€” justice and good vibes âœ¨
thanks a lot,ğŸ¤— Aww, youâ€™re too kind! Iâ€™m just doing my legal superhero duties ğŸ¦¸â€â™€ï¸
thankyou so much,ğŸ’ You made my algorithm blush! Glad I could help ğŸŒ¸
thank u,ğŸ’¬ Youâ€™re most welcome! Keep shining and knowing your rights ğŸ’ª
thankyou,ğŸŒ¼ My pleasure! You deserve support and clarity always.
thankyou yrr, Thankyou for using me.